LC_Type1,LST_Day_1km,pr,aet,NDVI,EVI,Gpp
5.0,-0.1223565,0.30855855,0.7603766,0.24270047,0.29883307,13845.0
5.0,-0.3708459,-0.083333336,0.0445015,0.37629968,0.20040588,13082.0
8.0,-0.39274925,-0.21621622,-0.5742405,-0.06836633,-0.53323185,6105.0
12.0,-0.020015106,0.09684685,0.40693197,-0.584817,-0.53323185,9468.0
14.0,-0.057401814,0.09009009,0.3872486,-0.47770974,-0.38711315,10437.0
10.0,-0.004531722,0.0945946,0.3928113,-0.39396098,-0.11060376,11845.0
8.0,-0.66200906,0.6306306,0.01754386,0.05754166,-0.325723,8284.0
14.0,0.3617825,0.48873875,0.6645272,0.11850164,0.13191274,13981.0
5.0,0.054380666,0.43243244,0.6170304,0.3811423,0.5195332,14662.0
10.0,0.8670695,-0.43243244,0.01711596,-0.40620995,-0.3105023,6351.0
10.0,1.0271903,-0.38963965,0.093709886,-0.6372312,-0.32217148,5061.0
12.0,0.9614804,0.19594595,1.2464699,-0.3267341,-0.053779807,8108.0
8.0,-1.3338369,-0.9977477,-1.122807,-0.11650762,-0.3665652,8135.0
4.0,-0.2212991,1.445946,0.84852374,0.1774676,0.1780822,13632.0
10.0,0.18831871,-0.17117117,-0.1287976,-0.3039453,-0.24809742,7707.0
9.0,0.18479307,-0.11036036,-0.03851091,-0.013673265,-0.05936073,8947.0
10.0,-1.0015106,-0.4009009,-0.8553701,-0.96681386,-0.6260781,3987.0
4.0,-0.07955739,0.7207207,0.50534874,0.44836918,0.6854389,13751.0
5.0,-0.17749244,1.1891892,0.3992298,0.76342404,0.54185694,14046.0
7.0,-2.2371602,-1.1531532,-1.3731279,-1.0230737,-0.8734145,3553.0
7.0,-2.2371602,-1.1531532,-1.3731279,-1.0230737,-0.8734145,3553.0
7.0,-2.2371602,-1.1531532,-1.3731279,-1.0230737,-0.8734145,3553.0
9.0,0.441213,0.6463964,2.1069748,0.093149126,0.6108574,12240.0
4.0,0.35800603,0.41666666,0.872914,0.23102123,0.44748858,15282.0
4.0,0.35347432,1.09009,2.2199402,0.5477852,0.5677321,17156.0
1.0,0.26510575,0.48423424,-0.19084296,0.3911124,0.3805175,12394.0
10.0,0.57666165,-0.7522523,-0.48566538,-0.3606324,-0.41704717,5621.0
5.0,0.25176284,1.2567568,2.152332,0.46830934,0.5459158,15077.0
1.0,-0.7477341,-0.41216215,-0.487377,0.043298677,-0.07001522,9164.0
12.0,0.61983836,0.4864865,1.7000428,-0.734938,-0.4860477,9746.0
12.0,0.16351964,0.49324325,1.0941378,-0.6110241,-0.376966,9227.0
7.0,1.4224577,-0.6936937,-0.46812153,-0.95684373,-0.67021817,3058.0
7.0,1.3058913,-1.1148648,-1.2036799,-1.067939,-0.768138,1994.0
7.0,1.255287,-1.1283784,-1.2357724,-1.0440109,-0.8148148,1982.0
4.0,-0.17673716,0.15765765,0.8682071,0.13160518,0.25469306,18755.0
10.0,0.9765861,0.17567568,0.5344459,-0.19285002,-0.1790969,10955.0
10.0,1.2043052,-0.759009,-0.57809156,-1.0229312,-0.80010146,2798.0
10.0,1.0485272,-0.9054054,-0.7749251,-0.8673978,-0.615931,3480.0
10.0,1.0294561,-0.6418919,-0.36542577,-0.98447514,-0.7727042,3041.0
11.0,-1.3021148,-0.4707207,-0.81600344,-0.21763282,-0.1486555,5526.0
5.0,0.061933536,0.6779279,0.28712025,0.36718416,0.1369863,12844.0
5.0,-0.3410121,0.058558557,-0.10397946,0.3498077,0.082699135,9302.0
8.0,-0.6510574,0.07882883,-0.16474111,-0.1250534,-0.58447486,4585.0
12.0,0.12046828,-0.5157658,-0.16089003,-0.6292551,-0.6022324,7637.0
12.0,0.026435046,-0.5315315,-0.16431323,-0.5791198,-0.6078133,9314.0
12.0,0.0043429,-0.5315315,-0.17073171,-0.3916821,-0.24251649,9496.0
14.0,0.33648035,1.2094594,0.347454,-0.23016664,0.016235413,11700.0
5.0,0.14954683,1.1554054,0.3406076,0.49394673,0.30187723,13624.0
10.0,1.0181268,-0.7477477,-0.6469833,-0.64292836,-0.48452562,3042.0
10.0,1.1110272,-0.7387387,-0.68421054,-0.6585956,-0.30999494,3227.0
12.0,0.9176737,-0.045045044,0.5348738,-0.4879647,-0.19685438,4861.0
8.0,-1.6299094,-1.0112612,-1.0094137,-0.1388691,-0.45256215,6086.0
8.0,-1.614426,-1.0112612,-1.0094137,-0.10625267,-0.32978183,6606.0
1.0,-1.581571,-1.0112612,-1.0094137,-0.17718273,-0.43328258,7232.0
4.0,-0.3489426,2.0833333,0.49978605,0.079760715,-0.061390158,12920.0
12.0,0.37034288,0.9572072,0.76850665,-0.70388836,-0.51243025,7492.0
7.0,-2.0075529,-0.7364865,-0.6927685,-1.1241988,-0.9647387,4190.0
8.0,-2.1064954,-0.9369369,-0.88703465,-0.8238143,-1.2031964,2703.0
10.0,-1.114426,-0.2725225,-0.563543,-1.1280445,-0.82597667,3487.0
4.0,-0.006042296,1.599099,0.7291399,0.38484547,0.42668697,13587.0
5.0,-0.489426,1.2815316,0.63414633,0.6554622,0.5631659,11523.0
7.0,-2.056269,-0.9504505,-1.0201112,-1.5118929,-1.3130391,3160.0
7.0,-2.056269,-0.9504505,-1.0201112,-1.5118929,-1.3130391,3160.0
7.0,-2.056269,-0.9504505,-1.0201112,-1.5118929,-1.3130391,3160.0
7.0,1.4981871,-1.2094594,-1.4030808,-1.1408632,-0.88483006,1622.0
10.0,0.5266873,0.481982,1.3410355,-0.10824669,0.1288686,9511.0
4.0,0.21601209,1.7364864,1.3778348,0.31420025,0.5454084,14734.0
4.0,0.312084,0.6576577,1.504493,0.12904145,0.047691528,13897.0
1.0,0.024169184,0.03153153,-0.8442448,0.48369178,0.30289194,12361.0
10.0,0.7211486,-1.1036036,-1.4993582,-0.47372168,-0.4358194,5104.0
11.0,0.33459213,-1.0202702,-0.75267434,0.10482837,-0.5093861,12125.0
5.0,0.34214503,1.2184684,2.275567,0.5628828,0.6296296,14728.0
1.0,-0.8836858,-0.17792793,-0.20710312,-0.31847316,-0.15778792,8884.0
12.0,0.4070997,0.1891892,1.0735986,-0.5648768,-0.31303906,8077.0
13.0,0.66314197,1.4076576,1.1009842,-0.18401937,-0.04464739,65530.0
12.0,-0.015861027,0.009009009,0.6585366,-0.6272611,-0.46879756,8333.0
7.0,1.5639472,-0.5292793,-0.1724433,-1.0377439,-0.7493658,2322.0
7.0,1.3723565,-1.286036,-1.6726573,-1.151403,-0.85540336,1729.0
7.0,1.152568,-1.2905406,-1.6799315,-1.1388692,-0.89497715,1572.0
12.0,0.6767372,-0.972973,-0.7154471,0.23728813,0.86098427,13402.0
4.0,0.014728096,0.4481982,0.5365854,0.18344966,0.17757483,17301.0
10.0,0.7824773,-0.44594595,0.68335474,-0.13758723,-0.08523592,10573.0
10.0,1.3976586,-0.6891892,-0.45656824,-1.0989888,-0.90360224,2551.0
