LC_Type1,LST_Day_1km,pr,aet,NDVI,EVI,Gpp
5.0,0.25176284,1.2567568,2.152332,0.46830934,0.5459158,24600.9
1.0,-0.7477341,-0.41216215,-0.487377,0.043298677,-0.07001522,8283.38
12.0,0.61983836,0.4864865,1.7000428,-0.734938,-0.4860477,16892.8
12.0,0.16351964,0.49324325,1.0941378,-0.6110241,-0.376966,9155.23
7.0,1.4224577,-0.6936937,-0.46812153,-0.95684373,-0.67021817,3102.9502
7.0,1.3058913,-1.1148648,-1.2036799,-1.067939,-0.768138,2422.23
7.0,1.255287,-1.1283784,-1.2357724,-1.0440109,-0.8148148,1640.1
4.0,-0.17673716,0.15765765,0.8682071,0.13160518,0.25469306,11902.6
10.0,0.9765861,0.17567568,0.5344459,-0.19285002,-0.1790969,6360.58
10.0,1.2043052,-0.759009,-0.57809156,-1.0229312,-0.80010146,1922.72
10.0,1.0485272,-0.9054054,-0.7749251,-0.8673978,-0.615931,5967.62
10.0,1.0294561,-0.6418919,-0.36542577,-0.98447514,-0.7727042,3463.43
11.0,-1.3021148,-0.4707207,-0.81600344,-0.21763282,-0.1486555,3725.1099
5.0,0.061933536,0.6779279,0.28712025,0.36718416,0.1369863,16759.3
5.0,-0.3410121,0.058558557,-0.10397946,0.3498077,0.082699135,9864.04
8.0,-0.6510574,0.07882883,-0.16474111,-0.1250534,-0.58447486,4859.6396
12.0,0.12046828,-0.5157658,-0.16089003,-0.6292551,-0.6022324,2187.19
12.0,0.026435046,-0.5315315,-0.16431323,-0.5791198,-0.6078133,3072.9001
12.0,0.0043429,-0.5315315,-0.17073171,-0.3916821,-0.24251649,5408.13
14.0,0.33648035,1.2094594,0.347454,-0.23016664,0.016235413,13580.1
5.0,0.14954683,1.1554054,0.3406076,0.49394673,0.30187723,14983.0
10.0,1.0181268,-0.7477477,-0.6469833,-0.64292836,-0.48452562,2751.5303
10.0,1.1110272,-0.7387387,-0.68421054,-0.6585956,-0.30999494,1956.8201
12.0,0.9176737,-0.045045044,0.5348738,-0.4879647,-0.19685438,8143.29
8.0,-1.6299094,-1.0112612,-1.0094137,-0.1388691,-0.45256215,4258.15
8.0,-1.614426,-1.0112612,-1.0094137,-0.10625267,-0.32978183,4370.37
1.0,-1.581571,-1.0112612,-1.0094137,-0.17718273,-0.43328258,7806.37
4.0,-0.3489426,2.0833333,0.49978605,0.079760715,-0.061390158,11812.4
12.0,0.37034288,0.9572072,0.76850665,-0.70388836,-0.51243025,8881.811
7.0,-2.0075529,-0.7364865,-0.6927685,-1.1241988,-0.9647387,3791.1401
8.0,-2.1064954,-0.9369369,-0.88703465,-0.8238143,-1.2031964,154.443
10.0,-1.114426,-0.2725225,-0.563543,-1.1280445,-0.82597667,6203.2
4.0,-0.006042296,1.599099,0.7291399,0.38484547,0.42668697,18209.398
5.0,-0.489426,1.2815316,0.63414633,0.6554622,0.5631659,16923.2
7.0,-2.056269,-0.9504505,-1.0201112,-1.5118929,-1.3130391,1752.3801
7.0,-2.056269,-0.9504505,-1.0201112,-1.5118929,-1.3130391,2757.7
7.0,-2.056269,-0.9504505,-1.0201112,-1.5118929,-1.3130391,1742.9401
7.0,1.4981871,-1.2094594,-1.4030808,-1.1408632,-0.88483006,2700.8801
10.0,0.5266873,0.481982,1.3410355,-0.10824669,0.1288686,8012.48
4.0,0.21601209,1.7364864,1.3778348,0.31420025,0.5454084,15033.399
4.0,0.312084,0.6576577,1.504493,0.12904145,0.047691528,2824.69
1.0,0.024169184,0.03153153,-0.8442448,0.48369178,0.30289194,15439.2
10.0,0.7211486,-1.1036036,-1.4993582,-0.47372168,-0.4358194,5847.6504
11.0,0.33459213,-1.0202702,-0.75267434,0.10482837,-0.5093861,5030.7197
5.0,0.34214503,1.2184684,2.275567,0.5628828,0.6296296,25399.2
1.0,-0.8836858,-0.17792793,-0.20710312,-0.31847316,-0.15778792,9284.56
12.0,0.4070997,0.1891892,1.0735986,-0.5648768,-0.31303906,16003.0
13.0,0.66314197,1.4076576,1.1009842,-0.18401937,-0.04464739,8265.311
12.0,-0.015861027,0.009009009,0.6585366,-0.6272611,-0.46879756,9318.2
7.0,1.5639472,-0.5292793,-0.1724433,-1.0377439,-0.7493658,1174.51
7.0,1.3723565,-1.286036,-1.6726573,-1.151403,-0.85540336,749.392
7.0,1.152568,-1.2905406,-1.6799315,-1.1388692,-0.89497715,616.27997
12.0,0.6767372,-0.972973,-0.7154471,0.23728813,0.86098427,17513.7
4.0,0.014728096,0.4481982,0.5365854,0.18344966,0.17757483,12518.0
10.0,0.7824773,-0.44594595,0.68335474,-0.13758723,-0.08523592,6276.2
10.0,1.3976586,-0.6891892,-0.45656824,-1.0989888,-0.90360224,1023.32
10.0,1.0850952,-1.2004504,-1.6140351,-0.950292,-0.7123288,3616.68
10.0,1.325781,-0.5698198,-0.24390244,-1.0890187,-0.90106547,2065.98
9.0,-0.8761329,-0.47522524,-0.8245614,-0.21193562,-0.19685438,3563.23
5.0,0.25528702,0.27477476,0.22379118,0.27659878,0.20649417,17559.5
5.0,-0.20090635,-0.11486486,-0.11553273,0.4016522,-0.0010147133,9681.25
